fecha,ticket,descripcion,articulo,cantidad,precio,total,margen
1/7/2025 09:01,25920001,PATATA GOURMET TRAD.FRITA ,061444,1.0,2.15,2.15,19.67441860465097
1/7/2025 09:01,25920001,GUSIFRIT F.RAVICH SAL 80G                         ,079022,1.0,1.3,1.3,18.870769230769117
1/7/2025 09:01,25920001,INFU. GOURMET TE ROJO 20B                         ,037775,1.0,1.0,1.0,41.69999999999999
1/7/2025 09:01,25920001,PROTEG.SLIP SECRETISIMA MAXI 52U                  ,088217,1.0,2.29,2.29,41.41484716157214
1/7/2025 09:01,25920001,CHAMPU MICADERM CAB.GRASO ,088456,1.0,2.67,2.67,35.194756554307
1/7/2025 09:24,25920002,CERVEZA MAHOU CLAS.33CL 4.8º                      ,030214,1.0,0.75,0.75,22.56000000000005
1/7/2025 09:24,25920002,CERVEZA MAHOU CLAS.33CL 4.8º                      ,030214,1.0,0.75,0.75,22.56000000000005
1/7/2025 09:24,25920002,BARRA NORMAL                                      ,600049,1.0,0.6,0.6,32.400000000000006
1/7/2025 09:38,25920003,PASTA GOURMET MACARRON 500G                       ,032794,1.0,0.88,0.88,20.000000000000004
1/7/2025 09:38,25920003,MERMELADA LIGERESA MELOC.330ML                    ,012003,1.0,2.2,2.2,7.499999999999996
1/7/2025 09:38,25920003,MERMELADA LIGERESA MELOC.330ML                    ,012003,1.0,2.2,2.2,7.499999999999996
1/7/2025 09:46,25920004,COMIDA PERRO MIC&FR. BUEY 720G                    ,205744,1.0,1.65,1.65,39.33333333333333
1/7/2025 09:46,25920004,HIELO CUBITOS BOLSA 2K                            ,600001,1.0,1.0,1.0,28.499999999999982
1/7/2025 09:46,25920004,CERVEZA MAHOU CLAS.33CL 4.8º                      ,030214,1.0,0.75,0.75,22.56000000000005
1/7/2025 09:46,25920004,CERVEZA MAHOU CLAS.33CL 4.8º                      ,030214,1.0,0.75,0.75,22.56000000000005
1/7/2025 09:46,25920004,DETERG.MICAL LAVADORA CAP.20U                     ,068584,1.0,5.85,5.85,26.15897435897432
1/7/2025 09:46,25920004,PAN DE PICOS NORMAL                               ,601085,1.0,0.8,0.8,44.99999999999997
1/7/2025 09:47,#PARAMERR#,MAQUINILLA MICADERM AFEI.FIJA 5U                  ,009401,1.0,1.81,1.81,39.83425414364635
1/7/2025 09:47,25920006,* PRINGLES ORIG.165G                              ,079508,1.0,2.25,2.25,12.000000000000188
1/7/2025 09:53,25920007,CERVEZA SKOL LATA 33CL 4.6º                       ,040330,6.0,0.45,2.7,22.022222222222364
1/7/2025 09:53,25920007,GARBANZO GOURMET CDO.EXT. ,009405,1.0,0.89,0.89,36.966292134831455
1/7/2025 09:53,25920007,PAN GOURMET RALL.250G                             ,034528,1.0,0.55,0.55,26.254545454545468
1/7/2025 09:53,25920007,HARINA GOURMET COMUN 500G                         ,045410,1.0,0.65,0.65,47.2
1/7/2025 09:53,25920007,HUEVO L 63-73G 12 U.                              ,090041,1.0,2.95,2.95,17.152542372881303
1/7/2025 10:07,25920008,HELADO GOURMET MINI-CONO 12U                      ,033549,1.0,3.05,3.05,20.655737704917943
1/7/2025 10:07,25920008,HELADO GOURMET CONO ,047858,1.0,2.6,2.6,22.999999999999883
1/7/2025 10:07,25920008,PAN DE PICOS NORMAL                               ,601085,1.0,0.8,0.8,44.99999999999997
1/7/2025 10:07,25920008,BAGUETTE SEMILLA                                  ,600061,1.0,0.9,0.9,26.666666666666654
1/7/2025 10:07,25920008,BARRA CAMPESINA                                   ,600440,1.0,0.7,0.7,37.1428571428571
1/7/2025 10:07,25920008,BOLSA SUMA 70% 42X53 G/200                        ,212913,1.0,0.1,0.1,39.50000000000003
1/7/2025 10:07,25920008,PAN BIMBO S/CORT.450G                             ,061833,1.0,2.49,2.49,21.14377510040164
1/7/2025 10:07,25920008,GALL.CHIPS AHOY 128G                              ,023130,1.0,2.09,2.09,15.789473684210517
1/7/2025 10:07,25920008,REGAÑA GOURMET 8% OVE 250G                        ,203523,1.0,1.1,1.1,36.654545454545584
