codigo,producto,familia,cantidad,coste,venta,margen_coste,margen_venta,beneficio,familia_legible
060704,* HARINA ,AQ JK,18.0,38.51,54.34,0.28288284034843403,0.220505592133107,15.830000000000004,panadería y repostería
047853,* HELADO ,A0 K9,6.0,10.08,14.7,0.32559523809523805,0.245621912887292,4.619999999999999,congelados
010883,* JAMON ,AD KX,3.0,4.95,7.09,0.302112029384758,0.232016925246827,2.14,carnes
8000011,* LECHE ,AQ JW,348.0,534.72,628.6,0.144676725130047,0.12639090317278,93.88,lácteos
8000001,* LECHE ,AQ JW,323.0,484.12,560.4,0.13094639599844698,0.115784794453359,76.27999999999997,lácteos
011363,* MACEDONIA ,AQ JS,1.0,2.35,3.0,0.160541586073502,0.138333333333334,0.6499999999999999,otros
009259,* MAIZ G.VERDE ,AQ JR,5.0,11.33,15.87,0.273393244002247,0.21469663459418,4.539999999999999,otros
092297,* MANGO E/K                                       ,AEAH,1.204,3.4314,4.2,0.200093256396806,0.166731423020884,0.7686000000000002,otros
015026,* MEJILLON ,AQ JQ,17.0,47.32,60.94,0.17071390148313198,0.145820341986938,13.619999999999996,otros
011005,* MELOCOTON ,AQ JS,11.0,19.43,27.1,0.26790810836101697,0.21129930993763602,7.670000000000002,otros
205155,* MIEL GOURMET ,AQ JS,33.0,78.8,132.24,0.525697969543147,0.344562279060095,53.44000000000001,otros
048546,* NATA ,A0 AG,48.0,112.5,144.83,0.17029333333333302,0.145513375563961,32.33000000000001,lácteos
049299,* NATILLA DANET ,A0 AB,58.0,89.0086,115.42,0.178808462430495,0.151685764167169,26.4114,otros
049416,* NATILLA DANET ,A0 AB,99.0,152.6954,197.01,0.1728792925476,0.14739734399444498,44.314599999999984,otros
035374,* PASTA GALLO ,AQ JH,15.0,13.08,19.3,0.36492910758965896,0.267361217194709,6.220000000000001,grano y básicos
059808,* PASTA GALLO ,AQ JH,31.0,28.32,40.49,0.321703261427837,0.24340052023500403,12.170000000000002,grano y básicos
035396,* PASTA GALLO ,AQ JH,41.0,37.33,54.33,0.33703333901565796,0.252075493692466,17.0,grano y básicos
218019,* PEPSI ZERO ,AQ J2,92.0,55.69,90.56,0.343907166145531,0.255900983943626,34.870000000000005,otros
033465,* PIÑA GOURMET ,AQ JS,6.0,10.68,13.24,0.126872659176031,0.112588284171168,2.5600000000000005,otros
023995,* PIZZA ,A0 KL,7.0,15.17,21.85,0.309492419248517,0.23634533098414298,6.6800000000000015,otros
023997,* PIZZA ,A0 KL,10.0,21.82,30.15,0.256186984417965,0.203940167821963,8.329999999999998,otros
079508,* PRINGLES ,AQ JL,124.0,226.47,314.68,0.26333971587647403,0.208447270806947,88.21000000000001,otros
070913,* QUESO ,AD AQ,91.0,68.24,88.3,0.256828839390388,0.204346710817807,20.06,lácteos
216727,* REFRESCO ,AQ J2,101.0,50.31,89.01,0.46240367572291396,0.316194278911623,38.7,bebidas sin alcohol
030521,* REFRESCO ,AQ J2,81.0,47.49,75.4,0.311851994939344,0.23771888608041,27.910000000000004,bebidas sin alcohol
015475,* SARDINA ALBO ,AQ JQ,1.0,1.33,2.15,0.469583048530413,0.319534883720929,0.8199999999999998,otros
205514,* SARDINA ,AQ JQ,37.0,24.28,39.19,0.46716339673506097,0.318412657904811,14.909999999999997,otros
219410,* SNACK ,AQ JL,76.0,90.19,140.94,0.420548538943041,0.296046581594424,50.75,dulces y snacks
218700,* SUAVIZ.MICAL ,A3 A7,141.0,175.63,266.93,0.256150114605131,0.203916802320757,91.3,otros
209706,* ,A3 A7,5.0,12.95,15.73,0.00386100386100392,0.0038461538461539,2.780000000000001,otros
8000301,* TOMATE ,AQ JA,194.0,97.51,145.83,0.359426072850336,0.264395453367111,48.32000000000001,frutas y verduras
007039,* TONICA ,AQ J2,2.0,1.36,1.78,0.0816176470588235,0.0754588715159755,0.4199999999999999,otros
030446,* TONICA ,AQ J2,38.0,22.9,31.9,0.151083041611029,0.131252947137138,9.0,otros
208992,* TONICA ,AQ J2,17.0,9.35,14.25,0.259374198965837,0.205954829929681,4.9,otros
030343,* TONICA ,AQ J2,28.0,17.76,25.5,0.186463219417765,0.15715887046989,7.739999999999998,otros
021647,* UVA ,AEAH,3.0,4.35,5.67,0.303448275862069,0.23280423280423299,1.3200000000000005,otros
218736,* UVAS MOCITOS ,AQ JS,6.0,5.1,8.7,0.55078431372549,0.355165001896574,3.6,otros
056642,* VINO C.OVANTE ,AQ J5,70.0,142.94,219.06,0.266479375846306,0.210409566020951,76.12,bebidas alcohólicas
025783,* VINO C.OVANTE ,AQ J5,17.0,33.88,51.83,0.264249856079308,0.20901711383128,17.949999999999996,bebidas alcohólicas
021738,* VINO IZNAR ,AQ J5,2.0,4.38,6.82,0.28675799086758,0.222853087295955,2.4400000000000004,bebidas alcohólicas
033347,* VINO M.CASALE ,AQ J5,11.0,22.13,27.71,0.0348253931501676,0.0336534002554323,5.580000000000002,bebidas alcohólicas
600250,30 ML EDP ,,2.0,3.956,7.0,0.46258847320525803,0.316280677497408,3.044,otros
600283,30 ML EDP ,,1.0,1.978,3.5,0.46258847320525803,0.316280677497408,1.522,otros
600288,30 ML EDP ,,1.0,1.978,3.5,0.462367029055142,0.316177142857142,1.522,otros
600292,30 ML EDP ,,2.0,3.956,7.0,0.46247775113019995,0.316228914096504,3.044,otros
018026,5 PIMIENTAS ,AQ JB,2.0,2.28,3.58,0.42719298245614,0.299323909035034,1.3000000000000005,otros
002211,ABRILL.FINISH ,A3 A8,2.0,7.49,10.58,0.167423230974633,0.143412625800549,3.09,otros
048695,ACEITE ,AQ I3,1.0,8.95,10.9,0.21787709497206698,0.17889908256880702,1.950000000000001,condimentos
044015,ACEITE ,AQ I3,8.0,68.75,83.29,0.18294041958042,0.154648887257828,14.540000000000006,condimentos
044016,ACEITE ,AQ I3,6.0,50.7,59.7,0.132203004096495,0.11676616615409299,9.0,condimentos
044305,ACEITE ,AQ I3,216.0,314.47,374.52,0.0990353177207246,0.0901111330308408,60.04999999999996,condimentos
8000201,ACEITE ,AQ I3,20.0,142.04,165.58,0.0773476101482294,0.0717944787918426,23.54000000000002,condimentos
057119,ACEITE ,AQ I3,19.0,41.75,52.15,0.22034454168585998,0.18055928810191801,10.4,condimentos
044005,ACEITE ,AQ I3,73.0,394.09,472.91,0.174854435827818,0.148830723616082,78.82000000000005,condimentos
044006,ACEITE ,AQ I3,41.0,201.06,259.93,0.257170840698147,0.204563160688114,58.870000000000005,condimentos
044012,ACEITE ,AQ I3,33.0,146.65,165.11,0.108721970153951,0.0980606257300507,18.460000000000008,condimentos
044004,ACEITE ,AQ I3,11.0,74.92,90.75,0.185713992361082,0.156626297368115,15.829999999999998,condimentos
219339,ACEITE ,A3 BM,6.0,14.4,22.2,0.27414600550964197,0.21516058938629,7.799999999999999,condimentos
044331,ACEITE ,AQ I3,29.0,62.61,76.55,0.127111556388031,0.11277637574347599,13.939999999999998,condimentos
600825,ACEITE LA ,AQ I3,2.0,3.78,4.9,0.178306878306878,0.151324651998204,1.1200000000000006,condimentos
044087,ACEITE LA MASIA ,AQ I3,3.0,24.05,31.11,0.276964656964657,0.216892969945622,7.059999999999999,condimentos
013142,ACEITUNA EL ,AQ JV,9.0,14.75,18.81,0.159322033898305,0.137426900584795,4.059999999999999,otros
013309,ACEITUNA ,AQ JV,19.0,29.5,48.45,0.49297380585516204,0.33019588416207396,18.950000000000003,otros
095005,ACEITUNA ,AQ JV,1.0,2.45,3.25,0.206122448979592,0.17089678510998302,0.7999999999999998,otros
013307,ACEITUNA ,AQ JV,3.0,5.05,5.89,0.060306030603061604,0.0568760611205444,0.8399999999999999,otros
013172,ACEITUNA ,AQ JV,5.0,12.0,19.1,0.44701515151515103,0.30892223280944,7.100000000000001,otros
013149,ACEITUNA ,AQ JV,3.0,3.93,6.15,0.42290076335877896,0.297210300429185,2.22,otros
013157,ACEITUNA ,AQ JV,4.0,6.48,11.48,0.610493827160494,0.37907244154848596,5.0,otros
013171,ACEITUNA ,AQ JV,14.0,34.32,39.9,0.0569188387370204,0.05385355682091569,5.579999999999998,otros
013017,ACEITUNA ,AQ JV,3.0,7.23,11.25,0.414522821576763,0.29304781460838997,4.02,otros
013155,ACEITUNA ,AQ JV,3.0,5.88,8.31,0.28469387755102,0.221604447974583,2.4300000000000006,otros
013158,ACEITUNA ,AQ JV,14.0,17.24,23.1,0.218097447795823,0.179047619047619,5.860000000000003,otros
013000,ACEITUNA ,AQ JV,8.0,15.64,21.6,0.25563822366891303,0.20359225997592698,5.960000000000001,otros
013159,ACEITUNA ,AQ JV,30.0,42.91,61.5,0.303099510603588,0.232598898347521,18.590000000000003,otros
013138,ACEITUNA ,AQ JV,65.0,25.4,38.35,0.372355046528274,0.271325592797754,12.950000000000005,otros
013234,ACEITUNA ,AQ JV,5.0,3.7,5.9,0.44985257985257804,0.310274703858733,2.2,otros
013156,ACEITUNA ,AQ JV,52.0,42.2,65.0,0.400023696682468,0.285726375653765,22.8,otros
013170,ACEITUNA ,AQ JV,6.0,9.42,13.08,0.262420382165605,0.207870837537841,3.66,otros
013601,ACEITUNA ,AQ JV,4.0,5.0,8.28,0.505545454545454,0.33578890163637404,3.28,otros
013382,ACEITUNA ,AQ JV,100.0,81.31,114.22,0.27711787658903697,0.216986921621653,32.91,otros
