codigo,producto,familia,cantidad,coste,venta,margen_coste,margen_venta,beneficio,familia_legible,cluster,categoria_promocion
215323,CORTEZAS ,AQ JL,-0.030928214270620646,-0.03244513766649883,-0.03295918175490891,0.2,0.166666666666667,-0.03408124260956138,otros,0,Estable 🟡
601111,PNUTS ,AB 3V,-0.03518661905161266,-0.03600638198933547,-0.03596093097535943,0.336898395721926,0.252,-0.03585717926206086,otros,0,Estable 🟡
218947,CHOCO.VAHINE ,AQ JC,-0.03767068850719133,-0.03744677813062565,-0.037191648155744134,0.7472466960352421,0.42767097384179,-0.036628492925842505,otros,0,Estable 🟡
094566,CHAMPU ,A3 BH,-0.036251220246860665,-0.03544596296085337,-0.035237782299523616,0.284719792483562,0.2216201495060289,-0.034777688355639616,higiene personal,0,Estable 🟡
002730,DETERG.MICAL ,A3 A5,-0.03412201785636466,-0.019456134935438397,-0.01816601582394323,0.285206997760098,0.221915223195304,-0.015338146468231032,otros,0,Estable 🟡
096949,EMPANADA ,AFAK,-0.01850786699272728,-0.022214906904725128,-0.021634400605027415,0.37023842148533803,0.2702,-0.020360390854637662,panadería y repostería,0,Estable 🟡
218327,Y.DANONE ,A0 LB,-0.036960954377026,-0.037163746648227,-0.03732536243920057,0.141021076941334,0.123592,-0.03767498971504331,otros,0,Estable 🟡
219282,QUESO ,AD A4,-0.025960075359463302,-0.023438687180396336,-0.02446423146103395,0.313568433724937,0.23871495818131,-0.026707623272958125,lácteos,0,Estable 🟡
219391,HELADO ,A0 K9,-0.03731582144210867,-0.03623690896559052,-0.036533992190172705,0.103628881406658,0.0938983050847451,-0.0371804261796095,congelados,0,Estable 🟡
212033,AGUA GOURMET ,AQ J1,-0.025960075359463302,-0.0356009724793697,-0.034896674433563334,0.674641148325358,0.4028571428571429,-0.03334997457617924,bebidas sin alcohol,0,Estable 🟡
008207,SNACK PERRO ,AQ JN,-0.03660608731194333,-0.034519880452794284,-0.03459649951151828,0.287532184591008,0.223320386109295,-0.034760277211987656,mascotas,0,Estable 🟡
001328,TINTO VERANO ,AQ J5,-0.02915387894520731,-0.0269959569001941,-0.025523030276974674,0.35981518885370695,0.264605949251841,-0.022293898357187345,otros,0,Estable 🟡
001217,CERVEZA MAHOU ,AQ J4,-0.01105565862599126,-0.0233870173408909,-0.02310798658597585,0.22440360978580198,0.1832758479249,-0.022494126509184833,bebidas alcohólicas,0,Estable 🟡
211327,ANCHOA ,AQ JQ,-0.0138945951466526,-0.0022977736165926514,-0.0052584941760060065,0.21392898514228,0.1762285831878429,-0.011742745304102164,otros,0,Estable 🟡
209884,PAÑAL DODOT ,A3 CL,-0.033057416661116654,0.03506746955191993,0.03386521361817495,0.183566295559724,0.155095913298978,0.0312279572289246,otros,0,Estable 🟡
210122,COUSCOUS ,AQ JU,-0.03483175198652999,-0.03393163920304002,-0.03384606220640565,0.34322019443970603,0.255520424618745,-0.03365466959008846,otros,0,Estable 🟡
215319,PATATA ,AQ JL,-0.021701670578471288,-0.016582496938328025,-0.018687228643130546,0.193436668284762,0.16208373131586,-0.023295039117174805,frutas y verduras,0,Estable 🟡
013000,ACEITUNA ,AQ JV,-0.03518661905161266,-0.03195228688967769,-0.03224967739371152,0.25563822366891303,0.2035922599759269,-0.03289728484122839,otros,0,Estable 🟡
017592,B.BASURA MICAL ,A3 BF,-0.025250341229297965,-0.02300148084611952,-0.018649024562142996,0.547536687631028,0.353811765502761,-0.009113662612656852,otros,0,Estable 🟡
030212,CERVEZA MAHOU ,AQ J4,0.2895167454990283,0.14057330721899397,0.1779137009817393,0.455329871904593,0.312870559929277,0.2596795730862349,bebidas alcohólicas,0,Estable 🟡
095374,ZUMO JUVER ,AQ J3,-0.036960954377026,-0.03731005178608817,-0.037284429495285334,0.326178451178451,0.2459536655030149,-0.03722395403873939,bebidas sin alcohol,0,Estable 🟡
053387,DONUTS GLACE ,AQ JF,0.03365759157442486,0.13639277999666977,0.11895661742916432,0.191677673969357,0.160846912010106,0.0807523012882666,otros,0,Estable 🟡
220118,CHAMPU ,A3 BH,-0.03767068850719133,-0.03771546129605395,-0.037584604417330386,0.486153400029,0.327121951219513,-0.03729359861334722,higiene personal,0,Estable 🟡
212646,ARROZ ,AQ JI,-0.033057416661116654,-0.02803332829334183,-0.028249164341729284,0.29283065953654097,0.226503492453928,-0.028718610364759017,grano y básicos,0,Estable 🟡
211743,TIRITA ,A3 BU,-0.036251220246860665,-0.03719478829796065,-0.036793234168302526,0.8367346938775511,0.455555555555556,-0.035909412693016736,otros,0,Estable 🟡
049645,Y.DANONE ,A0 LB,-0.03234768253095132,-0.028367552662881265,-0.030366761973610736,0.07809786557186099,0.0724404231432507,-0.03474208256687136,otros,0,Estable 🟡
219047,PALO VILEDA ,A3 BB,-0.032702549596033983,-0.02678132833609457,-0.022630435573631452,0.639822883763865,0.390178043067241,-0.013536093100253608,otros,0,Estable 🟡
047751,CHOCOLATINA ,AQ I6,-0.03199281546586865,-0.032154991644660576,-0.03304104764273938,0.123595505617977,0.11,-0.034977916507637104,bebidas sin alcohol,0,Estable 🟡
003477,DENTIF.,A3 BL,-0.03518661905161266,-0.035974585165024435,-0.03554614381035172,0.42497903940591697,0.298235291645478,-0.034603576919120055,otros,0,Estable 🟡
079510,PRINGLES ,AQ JL,-0.028799011880124643,-0.019623068263071364,-0.019942505589864396,0.299627868916337,0.230548971811581,-0.020639839710251545,otros,0,Estable 🟡
046046,VINAGRE PRIMA ,AQ JB,-0.03767068850719133,-0.037155042267571846,-0.03705247614643234,0.42588235294117704,0.298679867986799,-0.03682349773474441,condimentos,0,Estable 🟡
600445,FLAX BURMAR                                       ,A0 K9,-0.023476005903884628,-0.03653897879654542,-0.034787519916456046,1.72740576496674,0.633351218639741,-0.030947236752209346,otros,2,Candidato a Promoción 🔴
085423,CROISSANT ,AQ JF,-0.008926456235495253,0.004685603922719825,0.0030290625353650985,0.272167417075599,0.213939937010213,-0.0005996133668504945,otros,0,Estable 🟡
