"SUMA EXPRESS FUENLABRADA","","","","","","","","","","","","","","","",""
"Calle Almeania 4 LOCAL","","","","","","","","","","","","","","","",""
"CP:","28943","","","","","","","","","","","","","","",""
"Telf:","932924824","","","","","","","","","","","","","","",""
"Web:","","","","","","","","","","","","","","","",""
"Email:","","","","","","","","","","","","","","","",""
"Infome Artículos Activos Con Stock Negativo","","","","","","","","","","","","","","","",""
"Sección:","","Familia:","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"Código","Descripción","","Stock Fís.","","Punto Ped.","","Stock Obj.","Sección","","Dscr. Sección","","Familia","Dscr. Familia","","",""
"055544","DETERG.ARIEL BASICO LIQ.2X60D 120D","","-1","","1","","1","A3 ","","PERF/DROG/BAZAR","","A5 ","DETERGENTES ROPA","","",""
"096256","DETERG.ARIEL PODS 18D","","-1","","1","","3","A3 ","","PERF/DROG/BAZAR","","A5 ","DETERGENTES ROPA","","",""
"218189","DETERG. DIXAN GEL 55D","","-2","","1","","3","A3 ","","PERF/DROG/BAZAR","","A5 ","DETERGENTES ROPA","","",""
"007299","ANTIPOLILLAS ORION BOLAS 20U","","-4","","3","","32","A3 ","","PERF/DROG/BAZAR","","BC ","INSECTICIDAS PARA EL HOGAR","","",""
"010627","INSECT.MICAL CUCA.400ML","","-2","","3","","15","A3 ","","PERF/DROG/BAZAR","","BC ","INSECTICIDAS PARA EL HOGAR","","",""
"206091","INSECT.CUCAL CEBO CUCA.6U","","-1","","2","","12","A3 ","","PERF/DROG/BAZAR","","BC ","INSECTICIDAS PARA EL HOGAR","","",""
"213722","INSECT.MICAL ELEC.S/OLOR REC.33ML","","-5","","4","","24","A3 ","","PERF/DROG/BAZAR","","BC ","INSECTICIDAS PARA EL HOGAR","","",""
"050529","AMBIENT.A.WICK NENUCO ELEC.REC.","","-2","","2","","6","A3 ","","PERF/DROG/BAZAR","","BD ","AMBIENTADORES","","",""
"060538","AMBIENT.A.WICK FM DEL.VERANO REC","","-2","","2","","6","A3 ","","PERF/DROG/BAZAR","","BD ","AMBIENTADORES","","",""
"094566","CHAMPU MICADERM CAB.TEÑIDO 500ML","","-2","","2","","6","A3 ","","PERF/DROG/BAZAR","","BH ","PRODUCTOS CAPILARES","","",""
"214716","CHAMPU H&S CITRUS 510ML","","-1","","2","","6","A3 ","","PERF/DROG/BAZAR","","BH ","PRODUCTOS CAPILARES","","",""
"037669","LECHE CORPORAL MICADERM ALOE 400ML","","-1","","3","","10","A3 ","","PERF/DROG/BAZAR","","BM ","PRODUCTOS CORPORALES","","",""
