"SUMA EXPRESS FUENLABRADA","","","","","","","","","","","","",""
"Calle Almeania 4 LOCAL","","","","","","","","","","","","",""
"CP:","28943","","","","","","","","","","","",""
"Telf:","932924824","","","","","","","","","","","",""
"Web:","","","","","","","","","","","","",""
"Email:","","","","","","","","","","","","",""
"Infome de Stock En Fecha","","","","","Desde fecha:","","12/09/2025","","","","","",""
"Sección:","","","","","","","","","","","","",""
"Familia:","","","","","","","","","","","","",""
"Subfamilia:","","","","","","","","","","","","",""
"Tiendas : ","0001 - Tienda 0001","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Cód.","Descripción","","Stock Actual","Coste","Val. Actual","","Stock En Fecha","","Coste F.","Valor F.","Cód. Sección","Nombre Sección",""
"000033","TORTITA BICENTURY MAIZ ","","-8.00","1.86 €","-14.88 €","","-8.00","","1.86 €","-14.88 €","AQ","ALIM. Y BEBIDAS",""
"000038","PIZZA DR.OETKER ","","-7.00","2.65 €","-18.55 €","","-7.00","","2.65 €","-18.55 €","A0","PROD. FRESCOS",""
"000555","DENTIF. SENSODYNE ","","10.00","2.75 €","27.50 €","","10.00","","2.61 €","26.13 €","A3","PERF/DROG/BAZAR",""
"000626","LIMONCELLO VILLA MASSA ","","5.00","9.69 €","48.45 €","","5.00","","9.69 €","48.45 €","AQ","ALIM. Y BEBIDAS",""
"001217","CERVEZA MAHOU MIXTA ","","16.00","0.54 €","8.64 €","","17.00","","0.54 €","9.18 €","AQ","ALIM. Y BEBIDAS",""
"001222","CERVEZA MAHOU MIXTA ","","5.00","2.53 €","12.65 €","","5.00","","2.53 €","12.65 €","AQ","ALIM. Y BEBIDAS",""
"001316","TINTO VERANO D.SIMON ","","1.00","1.15 €","1.15 €","","1.00","","1.15 €","1.15 €","AQ","ALIM. Y BEBIDAS",""
"001328","TINTO VERANO D.SIMON ","","6.00","1.15 €","6.90 €","","6.00","","1.15 €","6.90 €","AQ","ALIM. Y BEBIDAS",""
"001415","BOLSA ALBAL ULTRA-ZIP 2 ","","2.00","2.49 €","4.98 €","","2.00","","2.48 €","4.97 €","A3","PERF/DROG/BAZAR",""
