"SUMA EXPRESS FUENLABRADA","","","","","","","","","","","","","","",""
"Calle Almeania 4 LOCAL","","","","","","","","","","","","","","",""
"CP:","28943","","","","","","","","","","","","","",""
"Telf:","932924824","","","","","","","","","","","","","",""
"Web:","","","","","","","","","","","","","","",""
"Email:","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Infome MERMAS","","","","De fecha","","01/08/2024","a fecha","31/08/2025","","","","","","",""
"Sección:","","","","","","","","","","","","","","",""
"Familia:","","","","","","","","","","","","","","",""
"Subfamilia:","","","","","","","","","","","","","","",""
"Tipo:","","","","","","","","","","","","","","",""
"Motivo:","","","","","","","","","","","","","","",""
"Código","","Descripción","","Cant.","Coste","T. Coste","Valor","Cant. Vent.","V. Ventas","%","Motivo","","Tipo","",""
"000038","","PIZZA DR.OETKER ","","9.00","2.65 €","23.85 €","34.65 €","8.00","30.52 €","112.50%","","Caducidad","","Merma",""
"001217","","CERVEZA MAHOU MIXTA ","","-64.00","0.54 €","-34.56 €","-44.80 €","76.00","55.10 €","-84.21%","","Dif. Inventario","","Merma",""
"001316","","TINTO VERANO D.SIMON ","","-97.00","1.15 €","-111.55 €","-181.39 €","319.00","592.03 €","-30.41%","","Dif. Inventario","","Merma",""
"001328","","TINTO VERANO D.SIMON ","","-10.00","1.15 €","-11.50 €","-18.50 €","25.00","46.25 €","-40.00%","","Dif. Inventario","","Merma",""
"002814","","LIMPIADOR CIF ","","1.00","2.05 €","2.05 €","3.05 €","20.00","60.76 €","5.00%","","Dif. Inventario","","Merma",""
"003462","","DENTIF.COLGATE T.ACCION ","","-10.00","1.35 €","-13.50 €","-22.00 €","34.00","71.00 €","-29.41%","","Dif. Inventario","","Merma",""
"005205","","BACON GOURMET CINTAS ","","2.00","1.58 €","3.16 €","4.40 €","112.00","265.48 €","1.79%","","Caducidad","","Merma",""
"006178","","DETERG.MICAL ","","-5.00","2.61 €","-13.05 €","-20.50 €","46.00","186.00 €","-10.87%","","Dif. Inventario","","Merma",""
"006180","","DETERG.MICAL LIQ.GEL ","","-2.00","3.34 €","-6.68 €","-9.98 €","10.00","49.02 €","-20.00%","","Dif. Inventario","","Merma",""
